id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
83,2023-05-13,FALSE,RJ,Favor cortar em formato de pentagrama invertido.
84,2023-05-13,FALSE,DF,null
85,2023-05-13,TRUE,GO,null
86,2023-05-13,TRUE,SP,Vai ser demais esse intensivo
87,2023-05-13,FALSE,SP,null
88,2023-05-13,TRUE,RJ,null
89,2023-05-13,FALSE,RJ,null
90,2023-05-13,TRUE,CE,null
91,2023-05-13,FALSE,SP,null
92,2023-05-13,FALSE,PE,null
93,2023-05-13,FALSE,SP,null
94,2023-05-13,TRUE,RN,Essas iniciativas ajudam bastante quem tá na correria do dia-a-dia para tentar da uma vida melhor para a família e tem que enfrentar os obstáculos da vida parabéns pela iniciativa muito obrigado pela oportunidade!
95,2023-05-13,FALSE,MT,Gosto da minha pizza com massa fina e crocante e os ingredientes da cobertura não podem ser em excesso onde o sabor de um se sobressai ao outro.
96,2023-05-13,TRUE,PI,null
97,2023-05-13,FALSE,CE,null
98,2023-05-13,FALSE,MG,Sem cebola
99,2023-05-13,FALSE,PR,Só agradecer e dizer que o Téo é o Calvo mais cabeludo que eu já vi. rs
100,2023-05-13,TRUE,SP,Quero bacon em pedaços não em fatias obrigado!
101,2023-05-13,FALSE,SP,Arrasa !
102,2023-05-13,TRUE,RJ,null
103,2023-05-13,FALSE,GO,Me contrata nunca pedi nada!
104,2023-05-13,FALSE,SP,null
105,2023-05-13,FALSE,CE,null
106,2023-05-13,TRUE,GO,null
107,2023-05-13,FALSE,PR,null
108,2023-05-13,TRUE,RS,null
109,2023-05-13,FALSE,CE,Faltou o refrigerante zero
110,2023-05-13,TRUE,ES,null
111,2023-05-13,FALSE,SP,null
112,2023-05-13,TRUE,MG,Capricha na cogumelo e se possívle faz a pizza a palito. Parabéns pelo material que oferem é incrivel.
113,2023-05-14,TRUE,SP,Só aguardando o preparo da pizza com o capricho de sempre! Vaaaiiii!!!
114,2023-05-14,FALSE,RJ,SQL - Salve Querido Linuxtips
115,2023-05-14,TRUE,PR,Vai acabar tudo em Pizza !!!
116,2023-05-14,FALSE,BA,Tem que chegar quente!
117,2023-05-14,FALSE,SP,null
118,2023-05-14,TRUE,PB,Capricha no gorgonzola e manda sachê de mostarda porfavor
119,2023-05-14,FALSE,RS,null
120,2023-05-14,FALSE,RJ,Caprichem hein!!
121,2023-05-14,TRUE,SP,Capricha na PIZZA!!!
122,2023-05-14,TRUE,RJ,null
123,2023-05-14,TRUE,PA,null
124,2023-05-14,FALSE,ES,me vê uma none pizza with left beef
125,2023-05-14,TRUE,SP,null
126,2023-05-14,TRUE,GO,Bota pra assar!!!
127,2023-05-14,FALSE,SP,Obrigada por disponibilizar conteúdos f*das para todos! Espero conseguir chegar no nível de vocês para também compartilhar conhecimento! Um abraço Adelita.
128,2023-05-14,FALSE,SP,Estou ansioso para o treinamento
129,2023-05-14,TRUE,GO,null
130,2023-05-14,FALSE,SP,null
131,2023-05-14,FALSE,RJ,Favor adicionar orégano e pouco molho de tomate! Obrigada!
132,2023-05-14,TRUE,GO,Pizza que é good nois não have
133,2023-05-14,TRUE,GO,null
134,2023-05-14,FALSE,RS,"Explica de vagar por que eu não entendo nada. Parabéns pessoal! Até breve!"""
135,2023-05-15,TRUE,PE,null
136,2023-05-15,TRUE,SP,null
137,2023-05-15,TRUE,RJ,Me parece que o comunismo cresce
138,2023-05-15,TRUE,MG,null
139,2023-05-15,TRUE,PR,null
140,2023-05-15,TRUE,SP,N
141,2023-05-15,TRUE,PR,null
142,2023-05-15,FALSE,SC,null
143,2023-05-15,FALSE,PR,VAIIII!!!
144,2023-05-15,FALSE,MG,null
145,2023-05-15,TRUE,RS,null
146,2023-05-15,TRUE,CE,null
147,2023-05-15,TRUE,RJ,null
148,2023-05-15,TRUE,RJ,null
149,2023-05-15,FALSE,MG,Bota queijo vegano na próxima pesquisa hehehehe
150,2023-05-15,TRUE,MG,null
151,2023-05-15,TRUE,BA,null
152,2023-05-15,FALSE,SP,null
153,2023-05-15,FALSE,ES,É uma pizza vegana.
154,2023-05-15,FALSE,CE,Vcs são muito massa! 😎😎
155,2023-05-15,TRUE,DF,Refrigerante zero! :)
156,2023-05-15,TRUE,PB,null
157,2023-05-15,FALSE,PR,Queroe al bem tostada por gentileza e com bastante manjericão
158,2023-05-15,FALSE,SP,null
159,2023-05-15,TRUE,ES,null
160,2023-05-15,FALSE,MT,Quentinha valeu!
161,2023-05-15,FALSE,MT,null
162,2023-05-15,FALSE,PR,null
163,2023-05-15,TRUE,BA,Fazer a pizza em forno a lenha.
164,2023-05-15,TRUE,SP,null
165,2023-05-15,FALSE,RS,null
166,2023-05-15,FALSE,SP,null
167,2023-05-15,TRUE,RO,null
168,2023-05-15,FALSE,SC,null
169,2023-05-15,FALSE,MG,null
170,2023-05-15,TRUE,RS,Vamos a todo vapooor!!!
171,2023-05-15,FALSE,DF,null
172,2023-05-16,TRUE,ES,Let's go
173,2023-05-16,TRUE,SP,Obrigado
174,2023-05-16,TRUE,RJ,null
175,2023-05-16,FALSE,SP,Capricha na mussarela
176,2023-05-16,FALSE,RJ,Obrigada
177,2023-05-16,TRUE,CE,null
178,2023-05-16,FALSE,SP,null
179,2023-05-16,TRUE,RN,null
180,2023-05-16,TRUE,PE,Espero q entregue em Pernambuco.
181,2023-05-16,TRUE,SP,null
182,2023-05-16,TRUE,RJ,Parabéns pela iniciativa MASSA :D
183,2023-05-16,FALSE,RS,null
184,2023-05-16,TRUE,SP,null
185,2023-05-16,TRUE,MT,De da Água na Boca
186,2023-05-16,FALSE,MG,null
187,2023-05-16,FALSE,SP,Fazer pizza é tão simples quanto voar. VAAIIII
188,2023-05-16,TRUE,PR,null
189,2023-05-16,FALSE,SP,null
190,2023-05-16,FALSE,SP,null
191,2023-05-16,TRUE,SC,null
192,2023-05-16,TRUE,RS,Capricha nos quejos! hahah
193,2023-05-16,TRUE,MG,#VAAAI
194,2023-05-16,FALSE,SP,null
195,2023-05-16,FALSE,RS,Desejo a todos uma linda e rica experiência.  Obrigada pela oportunidade!
196,2023-05-16,TRUE,BA,null
197,2023-05-16,TRUE,MT,null
198,2023-05-16,FALSE,RS,null
199,2023-05-16,TRUE,MG,null
200,2023-05-16,TRUE,BA,inclua nesse pedido uma porção grande de aprendizado
201,2023-05-16,TRUE,MA,Obligado
202,2023-05-16,TRUE,SP,entrega do projeto pontual. vaaaiii!
203,2023-05-16,FALSE,SP,null
204,2023-05-16,FALSE,SP,null
205,2023-05-16,FALSE,SP,#Vaaaaaaaaaaai
206,2023-05-16,FALSE,SP,null
207,2023-05-16,TRUE,RJ,null
208,2023-05-16,FALSE,PR,null
209,2023-05-16,TRUE,SE,Iniciativas como essas tá ajudando muito nesse momento de lay off onde as empresas passaram a pedir SQL. Muito obrigada pela oportunidade de aprender com vocês!
210,2023-05-16,FALSE,PE,brabos dms
211,2023-05-16,TRUE,GO,Zika da Galáxia
212,2023-05-16,TRUE,RJ,null
213,2023-05-16,FALSE,CE,Não se preocupem vou esperar na portaria entregador não precisa e não deve subir! :]
214,2023-05-16,TRUE,MG,null
215,2023-05-17,FALSE,SP,vocês são demais quero apresender cada vez mais com vocês
216,2023-05-17,FALSE,SP,Mamma mia
217,2023-05-17,TRUE,SP,Caprichar na Cebola
218,2023-05-17,TRUE,MG,null
219,2023-05-17,FALSE,SC,Caprichem no recheio! :D
220,2023-05-17,TRUE,RJ,null
221,2023-05-17,FALSE,PR,Pra cima piázada! Evento será top!
222,2023-05-17,FALSE,SC,Bora la
223,2023-05-17,TRUE,SC,Capricha no recheio!
224,2023-05-17,FALSE,MG,Caprichar no recheio
225,2023-05-17,FALSE,PE,caprichem!
226,2023-05-17,FALSE,SP,null
227,2023-05-17,TRUE,PE,null
228,2023-05-17,TRUE,CE,null
229,2023-05-17,FALSE,MG,Se tiver maionese temperada eu aceito.
230,2023-05-17,FALSE,PR,null
231,2023-05-17,FALSE,BA,null
232,2023-05-17,TRUE,RJ,null
233,2023-05-17,FALSE,AL,VAI!!
234,2023-05-17,FALSE,SP,null
235,2023-05-17,FALSE,SP,Mamamia
236,2023-05-17,TRUE,RN,Mostarda também!
237,2023-05-17,TRUE,PE,null
238,2023-05-17,FALSE,SP,null
239,2023-05-17,FALSE,PE,null
240,2023-05-17,FALSE,PE,null
241,2023-05-17,TRUE,SP,Cadê as opções de Pizza Vegan? cadê o manjericão?
242,2023-05-17,FALSE,SP,null
243,2023-05-17,TRUE,RJ,Não.
244,2023-05-17,TRUE,SP,null
245,2023-05-17,TRUE,ES,null
246,2023-05-18,TRUE,SP,#VAAAAAI
247,2023-05-18,TRUE,CE,favor enviar o maionese e ketchup
248,2023-05-18,FALSE,PB,null
249,2023-05-18,FALSE,RS,null
250,2023-05-18,FALSE,RS,null
251,2023-05-18,TRUE,RS,null
252,2023-05-18,TRUE,SP,null
253,2023-05-18,TRUE,RO,Capricha na borda
254,2023-05-18,FALSE,RS,null
255,2023-05-18,FALSE,SP,null
256,2023-05-18,TRUE,GO,null
257,2023-05-18,TRUE,SP,Confio na tua habilidade.
258,2023-05-18,TRUE,SP,null
259,2023-05-18,TRUE,SP,Por que não inovar e começar usar borda de chocolate na pizza salgada? Rs
260,2023-05-18,FALSE,DF,Capricha !!!
261,2023-05-18,FALSE,SC,null
262,2023-05-18,FALSE,PE,null
263,2023-05-18,FALSE,AL,null
264,2023-05-18,FALSE,PE,null
265,2023-05-19,FALSE,PI,Nao economiza no cheddar
266,2023-05-19,FALSE,SP,null
267,2023-05-19,TRUE,BA,null
268,2023-05-19,FALSE,RJ,null
269,2023-05-19,TRUE,SE,Capricha no queijo de Cabra por favor!
270,2023-05-19,FALSE,RJ,null
271,2023-05-19,TRUE,SP,null
272,2023-05-19,FALSE,SP,Capricha
273,2023-05-19,FALSE,SP,pizza grande por favor
274,2023-05-19,FALSE,MG,null
275,2023-05-19,FALSE,SP,null
276,2023-05-19,TRUE,SP,null
277,2023-05-19,TRUE,MA,null
278,2023-05-19,FALSE,BA,null
279,2023-05-19,TRUE,PR,null
280,2023-05-19,FALSE,SP,Muito obrigado pelo seu esforço em nos passar conteúdo gratuito.
281,2023-05-19,TRUE,GO,Vcs são feras!
282,2023-05-19,FALSE,BA,null
283,2023-05-19,FALSE,SP,Massa fina!
284,2023-05-19,TRUE,SP,Capricha na pimenta! Tks
285,2023-05-20,FALSE,TO,null
286,2023-05-20,FALSE,PE,null
287,2023-05-20,FALSE,MG,null
288,2023-05-20,FALSE,SP,Já acompanho ambos nas redes sociais. Parabéns pelo trabalho dos dois. Muito obrigado pelo workshop gratuito!
289,2023-05-20,TRUE,PR,null
290,2023-05-20,FALSE,SP,Capricha no recheio aê
291,2023-05-21,TRUE,MG,null
292,2023-05-21,FALSE,RN,null
293,2023-05-21,FALSE,RJ,Vocês são fodas! A linuxtips é foda!
294,2023-05-21,TRUE,RS,null
295,2023-05-21,TRUE,RJ,Continuem com o trabalho FODASTICOO
296,2023-05-21,TRUE,SP,null
297,2023-05-22,FALSE,MT,É a primeira pizza com brócolis que peço estou curiosa (sou péssima em combinações culinárias).
298,2023-05-22,FALSE,RJ,Agradeço a vocês pelo o que estão oferecendo.
299,2023-05-22,TRUE,RJ,null
300,2023-05-22,TRUE,MG,null
301,2023-05-22,TRUE,RJ,Fatiado em 8 pedaços por favor (: hahah
302,2023-05-22,FALSE,DF,Me ajuda na transição de carreira
303,2023-05-22,TRUE,SP,Bora comer essa pizza?!
304,2023-05-22,FALSE,GO,Ansioso!!
305,2023-05-22,TRUE,SC,null
306,2023-05-22,TRUE,PA,#VAAAAIII
307,2023-05-22,FALSE,SP,Sucesso
308,2023-05-22,TRUE,SP,Estou ansiosa para comer essa pizza rsrsr
309,2023-05-22,TRUE,RJ,null
310,2023-05-22,TRUE,MG,null
311,2023-05-22,FALSE,SP,null
312,2023-05-23,FALSE,SP,S2
313,2023-05-23,FALSE,RJ,null
314,2023-05-23,FALSE,PR,Brabos
315,2023-05-23,TRUE,AM,Para viagem por favor!
316,2023-05-23,TRUE,MG,null
317,2023-05-23,TRUE,ES,null
318,2023-05-23,TRUE,RS,null
319,2023-05-23,FALSE,PB,Caprichem no curso digo na pizza!
320,2023-05-23,TRUE,SE,null
321,2023-05-23,TRUE,ES,null
322,2023-05-23,FALSE,SP,null
323,2023-05-23,FALSE,MG,Um abraço do Lucas Carlos
324,2023-05-23,TRUE,MA,Sua Pizzazinha é uma delícinha
325,2023-05-23,TRUE,RJ,Obrigado pela iniciativa o Téo Calvo é nota 1000
326,2023-05-23,TRUE,MG,null
327,2023-05-23,TRUE,GO,Fiquei triste por não ter borda doce :/ Parabéns pelo projeto vocês são demais!
328,2023-05-23,TRUE,SP,null
329,2023-05-23,TRUE,RJ,null
330,2023-05-23,TRUE,SP,Capricha no bacon aí
331,2023-05-23,TRUE,AL,"Pizza tem recheio ou cobertura? Sucesso! vocês são brabos."""
332,2023-05-23,TRUE,SC,Ansiosa .
333,2023-05-23,FALSE,PE,null
334,2023-05-23,TRUE,GO,Capricha na borda de Cream Cheese
335,2023-05-23,TRUE,MG,null
336,2023-05-23,TRUE,RS,Mamma Mia!
337,2023-05-23,FALSE,SP,null
338,2023-05-23,TRUE,GO,Parabens pela iniciativa pizzaiolos bonitos!!!!!
339,2023-05-23,TRUE,SP,null
340,2023-05-23,TRUE,PR,Queijo veg pls
341,2023-05-23,FALSE,SP,Venceremos!
342,2023-05-23,TRUE,MG,null
343,2023-05-23,FALSE,SP,null
344,2023-05-23,FALSE,RJ,null
345,2023-05-23,FALSE,BA,Massa fina por favor! Risos!
346,2023-05-23,FALSE,SP,Capricha na borda! No Ketchup rs
347,2023-05-23,FALSE,SP,null
348,2023-05-23,FALSE,SC,null
349,2023-05-23,FALSE,SP,Entrega rapida por favor
350,2023-05-23,FALSE,SP,null
351,2023-05-23,TRUE,ES,Desejo-lhes muita paz de espírito para poder ministrar as aulas com sabedoria.
352,2023-05-23,TRUE,AC,null
353,2023-05-23,FALSE,MT,null
354,2023-05-23,FALSE,SP,null
355,2023-05-23,FALSE,RJ,Enche de queijo
356,2023-05-23,TRUE,MG,null
357,2023-05-23,FALSE,PR,null
358,2023-05-23,FALSE,MG,null
359,2023-05-23,FALSE,SP,No capricho
360,2023-05-23,TRUE,GO,null
361,2023-05-23,TRUE,MG,null
362,2023-05-23,TRUE,SP,Capricha no bacon!
363,2023-05-23,FALSE,SC,Valeu pessoal vocês são feras!
364,2023-05-23,TRUE,RJ,Vocês são brabos!!!
365,2023-05-23,FALSE,SP,null
366,2023-05-23,FALSE,RJ,null
367,2023-05-23,FALSE,SP,estou FAMINTO para aprender SQL!!
368,2023-05-23,FALSE,BA,null
369,2023-05-23,FALSE,MG,null
370,2023-05-23,FALSE,RJ,Vamos por a mão na massa!!!!!
371,2023-05-23,TRUE,MG,null
372,2023-05-23,FALSE,RJ,Pizza se come com a mão! Abraço do pessoal de estatística da ufjf! R+Python+SQL
373,2023-05-23,TRUE,DF,Caprichem na mussarela.
374,2023-05-23,FALSE,RN,Faltou o tamanho quantidade e se era rodízio ou não.
375,2023-05-23,TRUE,CE,Quero ligeiro
376,2023-05-23,FALSE,SP,null
377,2023-05-23,TRUE,CE,Fome!!!!!!!!!!!!!! rsrsrsrs
378,2023-05-23,FALSE,MG,null
379,2023-05-23,FALSE,SP,Um beijo pra vocês!!!
380,2023-05-23,FALSE,ES,Obrigado pela aula!
381,2023-05-23,FALSE,SP,null
382,2023-05-23,FALSE,ES,null
383,2023-05-23,TRUE,BA,Assa essa aí com carinho
384,2023-05-23,FALSE,SP,Que seja una Bella Pizza!!!!
385,2023-05-23,FALSE,PR,null
386,2023-05-23,FALSE,MG,null
387,2023-05-23,FALSE,SP,null
388,2023-05-23,TRUE,SC,null
389,2023-05-23,TRUE,SP,Gostaria do recheio de maneira uniforme e fazer a cara do mickey com a linguiça calabresa defumada.
390,2023-05-23,FALSE,SP,null
391,2023-05-23,TRUE,SP,null
392,2023-05-23,FALSE,CE,null
393,2023-05-23,FALSE,DF,a excelência na qualidade fideliza clientes
394,2023-05-23,TRUE,RJ,Mande bem crocante!
395,2023-05-23,TRUE,SC,null
396,2023-05-23,FALSE,SC,null
397,2023-05-23,TRUE,PA,Pode caprichar no bacon
398,2023-05-23,FALSE,ES,null
399,2023-05-23,TRUE,PR,null
400,2023-05-23,TRUE,SC,null
401,2023-05-23,TRUE,MG,Olá gostaria de entender como é feita a integração do banco de dados com um programa em python.
402,2023-05-23,TRUE,SP,null
403,2023-05-23,TRUE,RJ,null
404,2023-05-23,FALSE,RJ,Capricha que hoje estou triste!
405,2023-05-23,TRUE,PR,null
406,2023-05-23,TRUE,SP,null
407,2023-05-23,TRUE,RJ,Ansiosa pra conhecer a dinâmica da Pizza Query! :)
408,2023-05-23,FALSE,SP,null
409,2023-05-23,FALSE,SP,Por favor não queime as bordas não acrescente cebola nem cebolinha (por engano) mas se tiver manjericão pode acrescentar.
410,2023-05-23,TRUE,PR,Vaaaaaiiiii!
411,2023-05-23,FALSE,MG,Parabéns pela iniciativa e continuem fornecendo um conteúdo tão precioso como esse! O mundo agradece
412,2023-05-23,FALSE,SP,Entrega rápida estou morrendo de fome!!!!!
413,2023-05-23,FALSE,SP,null
414,2023-05-23,FALSE,SP,Gratina o queijo e por favor deixe a base da massa crocante
415,2023-05-23,TRUE,ES,null
416,2023-05-23,FALSE,RJ,null
417,2023-05-23,FALSE,PR,null
418,2023-05-23,TRUE,RJ,null
419,2023-05-23,FALSE,SP,null
420,2023-05-23,FALSE,SP,null
421,2023-05-23,TRUE,SP,null
422,2023-05-23,TRUE,SP,null
423,2023-05-23,FALSE,PB,Valeu!
424,2023-05-23,FALSE,MG,null
425,2023-05-23,TRUE,RJ,null
426,2023-05-23,FALSE,PR,null
427,2023-05-23,FALSE,SP,De a ordem camaradas
428,2023-05-23,TRUE,RJ,null
429,2023-05-23,TRUE,MG,null
430,2023-05-23,FALSE,BA,forno aceso aqui no Bairro de Brotas na cidade de Salvador na Bahia.
431,2023-05-23,FALSE,SC,null
432,2023-05-23,FALSE,SP,Capricha na borda chefe!
433,2023-05-23,FALSE,RJ,null
434,2023-05-23,TRUE,MG,null
435,2023-05-23,FALSE,RS,null
436,2023-05-23,TRUE,SC,null
437,2023-05-23,FALSE,SP,null
438,2023-05-23,FALSE,SP,Salve!
439,2023-05-23,FALSE,PR,Tão contratando ajudante de pizzaiolo?
440,2023-05-23,TRUE,PE,que a pizza chegue quentinha na minha casa por favor
441,2023-05-23,TRUE,SP,null
442,2023-05-23,TRUE,PR,Fiquei com fome respondendo esse formulário...
443,2023-05-23,TRUE,RJ,"Faltou o ""Frango com catupiry"" =("
444,2023-05-23,FALSE,SP,Vai ter sorteio de vale-pizza para os participantes?
445,2023-05-23,TRUE,SC,Caprichem no recheio
446,2023-05-23,TRUE,MG,null
447,2023-05-23,TRUE,RS,null
448,2023-05-23,TRUE,BA,null
449,2023-05-23,TRUE,CE,null
450,2023-05-23,TRUE,RN,Vai!!!!!!!
451,2023-05-23,TRUE,DF,null
452,2023-05-23,FALSE,PR,null
453,2023-05-23,FALSE,SP,Boa pizza!
454,2023-05-23,FALSE,SP,null
455,2023-05-23,FALSE,SP,puta falta de sacanagem so tenho 13 reais no vr (minhadona aqui) e vcs vem com PIZZA p ensinar a não é possiver
456,2023-05-23,FALSE,SP,Bora pra cima
457,2023-05-23,TRUE,MG,Capricha!
458,2023-05-23,FALSE,MG,null
459,2023-05-23,FALSE,SP,null
460,2023-05-23,FALSE,SP,null
461,2023-05-23,TRUE,AM,Vamos nessa! E fazer a melhor pizza do mundo.
462,2023-05-23,FALSE,PE,Preparem a larica que eu tô chegando com o salve!
463,2023-05-23,TRUE,PE,Faltou o ingrediente molho de tomate kkkkk S2
464,2023-05-23,FALSE,CE,null
465,2023-05-23,TRUE,CE,null
466,2023-05-23,TRUE,RJ,Gratidão!
467,2023-05-23,FALSE,CE,null
468,2023-05-23,FALSE,SP,null
469,2023-05-23,TRUE,RJ,null
470,2023-05-23,FALSE,SP,não queima a parte de baixo
471,2023-05-23,TRUE,ES,null
472,2023-05-23,TRUE,ES,"SELECT fAprendizado FROM melhorlivedemaio"""
473,2023-05-23,TRUE,ES,Boa sorte rs
474,2023-05-23,FALSE,SP,null
475,2023-05-23,FALSE,SP,Bora por a mão na massa!
476,2023-05-23,FALSE,SP,#PIZZATIME...VAIII
477,2023-05-23,TRUE,SP,null
478,2023-05-23,FALSE,SP,Ketchup na pizza é crime!!!!
479,2023-05-23,FALSE,PE,null
480,2023-05-23,FALSE,SE,null
481,2023-05-23,TRUE,SC,<3
482,2023-05-23,TRUE,RS,null
483,2023-05-23,FALSE,MS,Borda com cerveja
484,2023-05-23,TRUE,PR,null
485,2023-05-23,TRUE,SP,null
486,2023-05-23,TRUE,SP,Capricha nos recheios
487,2023-05-23,FALSE,SP,Massa bem passada e SQL turbinado Tela
488,2023-05-23,FALSE,PE,null
489,2023-05-23,TRUE,RJ,A semana vai terminar em pizza?!! ;)
490,2023-05-23,FALSE,BA,null
491,2023-05-23,TRUE,SP,Faça bem feito! haha
492,2023-05-24,FALSE,PR,Quero
493,2023-05-24,TRUE,MG,Bem dourada!
494,2023-05-24,TRUE,CE,Vocês são demais.  Vaiiii
495,2023-05-24,FALSE,SP,Faltou o exilados da gringa no estado que você mora rsrsrs ansioso pro treinamento!
496,2023-05-24,TRUE,PB,null
497,2023-05-24,TRUE,SP,null
498,2023-05-24,TRUE,RJ,null
499,2023-05-24,FALSE,DF,Arriba! Andale
500,2023-05-24,TRUE,SP,No capricho. Fome de conhecimento
501,2023-05-24,FALSE,SC,Deixa a massa bem no ponto sem deixar passar o restante dos ingredientes
502,2023-05-24,TRUE,MG,Vcs são foda!
503,2023-05-24,FALSE,SP,null
504,2023-05-24,FALSE,SP,To com fome
505,2023-05-24,FALSE,SP,Vocês são uns lindos
506,2023-05-24,FALSE,RS,Fatiar a pizza em apenas quatro partes.
507,2023-05-24,FALSE,MG,null
508,2023-05-24,TRUE,PR,null
509,2023-05-24,TRUE,SE,Capricha no catupiry.
510,2023-05-24,TRUE,SP,Bora para cima mano é nois!!!
511,2023-05-24,TRUE,CE,null
512,2023-05-24,TRUE,SP,A pizza vai ser brinde?? Ahaha
513,2023-05-24,TRUE,SP,Queremos desconto
514,2023-05-24,TRUE,SP,Capricha na borda!
515,2023-05-24,FALSE,MG,null
516,2023-05-24,FALSE,DF,null
517,2023-05-24,FALSE,SP,null
518,2023-05-24,FALSE,MG,Parabéns por mais essa iniciativa e fogo nos racistas!
519,2023-05-24,FALSE,SP,null
520,2023-05-24,FALSE,SP,Capricha no recheio por favor.
521,2023-05-24,TRUE,BA,null
522,2023-05-24,TRUE,BA,Que massa!!!
523,2023-05-24,TRUE,MG,null
524,2023-05-24,TRUE,SP,Sacanagem ter que preencher isso aqui na hora do almoço! hahaha
525,2023-05-24,TRUE,GO,null
526,2023-05-24,FALSE,SP,Teo me Why!!!!!!
